instance_id,num_agents,num_resources,prop_status,prop_time_in_seconds,prop_num_sharing,prop_product,ef_status,ef_time_in_seconds,ef_num_sharing,ef_product,maxprod1_status,maxprod1_time_in_seconds,maxprod1_num_sharing,maxprod1_product,maxprod0_status,maxprod0_time_in_seconds,maxprod0_num_sharing,maxprod0_product
338,2,5,OK,0.027241,1,375722.0251999997,OK,0.036754,1,379353.2508679997,OK,0.025707999999999998,1,382802.07999999967,,,,
340,3,3,OK,0.07841000000000001,1,143922875.13800004,OK,0.127947,1,162062755.96800026,OK,0.072796,1,197803246.33799964,,,,
357,2,3,OK,0.027774,0,645191.9999999994,OK,0.040645,0,645191.9999999994,OK,0.081118,1,645199.0112999997,,,,
361,3,3,OK,0.024489,2,62658396.32975995,OK,0.043461,2,62638993.31536005,OK,0.026117,2,63783178.17580794,,,,
362,3,3,OK,0.028748000000000006,1,67188886.26278394,OK,0.075352,1,67111545.83654389,OK,0.027068000000000002,1,67194784.14950398,,,,
432,2,4,OK,0.024477000000000002,0,399999.99999999936,OK,0.031735,0,399999.99999999936,OK,0.045894,1,449999.99999999953,,,,
438,2,3,OK,0.019403,0,398792.0,OK,0.025942000000000003,0,398792.0,OK,0.036379,1,404831.22514899954,,,,
465,3,3,OK,0.025668,1,63125808.92800009,OK,0.460534,2,69674302.59235199,OK,0.25546199999999997,2,70430281.11761595,,,,
481,2,3,OK,0.021816,0,398068.9999999996,OK,0.030470999999999998,0,398068.9999999996,OK,0.018657,0,398068.9999999996,,,,
503,3,3,OK,0.037689999999999994,2,36926037.00000001,OK,0.070637,2,36926037.00000001,OK,0.035480000000000005,2,36926037.00000001,,,,
522,2,3,OK,0.030106,1,343872.11909600004,OK,0.039523,1,346876.11858400033,OK,0.021246,1,352622.5779839997,,,,
537,2,3,OK,0.02074,0,602139.9999999993,OK,0.028734,0,602139.9999999993,OK,0.017709,0,602139.9999999993,,,,
549,2,3,OK,0.0185,1,329269.99474000005,OK,0.024719,1,329335.21600000025,OK,0.020269,1,329831.2267399999,,,,
558,2,3,OK,0.018953,1,250500.24999999988,OK,0.026061,1,250500.24999999988,OK,0.019049,1,250500.24999999988,,,,
